consumer,resource,NA,NA,NA,NA
arthropods,NA,NA,0.002,terrestrial aboveground,NA
Lagopus_spec.,genus,adults,511.05,terrestrial aboveground,3
lemmings,family,adults,44,terrestrial aboveground,2
Lepus_arcticus,species,adults,3000,terrestrial aboveground,2
waterfowl,NA,adults,1275,terrestrial aboveground,2
passerines,NA,adults,34,terrestrial aboveground,2
shorebirds,NA,adults,74.49,terrestrial aboveground,3
Mustela_erminea,species,adults,124,terrestrial aboveground,2
Bubo_scandiacus,species,adults,1987.5,terrestrial aboveground,3
Vulpes_lagopus,species,adults,3300,terrestrial aboveground,2
Stercocarius_spec.,genus,adults,297.5,terrestrial aboveground,2
